省份,城市,平均高温,平均低温,极端高温,极端低温
北京,北京,18.7,8.6,37,-12
上海,上海,20.8,14.6,37,0
天津,天津,19.2,10.4,38,-9
重庆,重庆,21.3,15.4,39,-1
黑龙江,哈尔滨,11.1,0.6,33,-28
吉林,长春,12.5,2.1,35,-26
辽宁,沈阳,14.9,3.8,35,-25
内蒙古,呼和浩特,13.5,2.0,33,-23
河北,石家庄,19.6,10.1,39,-9
新疆,乌鲁木齐,12.9,4.5,37,-23
甘肃,兰州,17.1,6.0,36,-10
青海,西宁,11.1,-3.3,29,-25
陕西,西安,19.6,9.6,38,-17
宁夏,银川,16.9,5.2,35,-16
河南,郑州,21.0,11.4,39,-7
山东,济南,19.9,11.1,38,-8
山西,太原,17.8,4.8,35,-16
安徽,合肥,21.2,12.2,39,-4
湖北,武汉,21.9,13.0,38,-3
湖南,长沙,21.8,14.5,38,-6
江苏,南京,20.8,12.5,38,-3
四川,成都,20.4,13.5,34,0
贵州,贵阳,22.2,14.8,37,-1
云南,昆明,21.9,11.2,31,-1
广西,南宁,26.2,18.8,36,5
西藏,拉萨,13.9,1.5,29,-21
浙江,杭州,21.6,14.0,39,0
江西,南昌,22.5,15.5,38,0
广东,广州,27.2,19.4,37,6
福建,福州,24.8,17.4,37,5
台湾,台北,24.1,19.4,33,10
海南,海口,29.3,22.7,38,11
