省份,城市,平均高温,平均低温,极端高温,极端低温
北京,北京,19.3,8.9,40,-13
上海,上海,22.1,14.9,41,-9
天津,天津,20.1,10.7,40,-13
重庆,重庆,23.9,15.8,43,-17
黑龙江,哈尔滨,12.3,2.2,34,-27
吉林,长春,13.9,4.3,35,-24
辽宁,沈阳,16.8,5.6,36,-21
内蒙古,呼和浩特,17.9,5.1,37,-18
河北,石家庄,20.9,10.5,41,-7
新疆,乌鲁木齐,16.6,6.8,39,-21
甘肃,兰州,19.9,7.0,39,-17
青海,西宁,14.6,1.8,35,-24
陕西,西安,21.0,9.5,41,-23
宁夏,银川,19.5,6.9,38,-16
河南,郑州,22.5,13.0,41,-23
山东,济南,21.0,12.5,38,-7
山西,太原,19.6,6.4,37,-16
安徽,合肥,22.8,13.4,40,-5
湖北,武汉,23.3,15.0,40,-3
湖南,长沙,22.8,15.1,40,-1
江苏,南京,22.5,13.8,40,-4
四川,成都,23.3,14.9,38,2
贵州,贵阳,22.8,15.8,40,0
云南,昆明,21.2,11.3,38,-1
广西,南宁,25.4,18.2,37,4
西藏,拉萨,15.1,3.5,40,-17
浙江,杭州,23.0,14.8,41,-6
江西,南昌,20.6,13.1,39,-38
广东,广州,26.6,19.1,38,-4
福建,福州,24.8,16.6,42,-10
台湾,台北,22.4,16.6,43,-10
海南,海口,27.7,21.4,36,9
