省份,城市,平均高温,平均低温,极端高温,极端低温
北京,北京,17.6,8.1,36,-10
上海,上海,20.6,14.0,37,-3
天津,天津,18.1,9.2,36,-10
重庆,重庆,21.9,15.4,42,1
黑龙江,哈尔滨,10.3,0.3,33,-27
吉林,长春,10.7,1.2,32,-26
辽宁,沈阳,13.5,2.2,32,-24
内蒙古,呼和浩特,13.4,2.4,34,-21
河北,石家庄,18.6,9.4,37,-8
新疆,乌鲁木齐,11.9,3.4,38,-25
甘肃,兰州,16.3,5.3,36,-14
青海,西宁,14.1,-0.6,33,-20
陕西,西安,18.4,10.1,38,-8
宁夏,银川,15.5,4.1,37,-19
河南,郑州,19.2,10.1,40,-8
山东,济南,18.2,9.9,36,-10
山西,太原,16.3,5.3,36,-15
安徽,合肥,20.3,12.3,37,-6
湖北,武汉,21.0,12.5,37,-4
湖南,长沙,21.0,14.4,39,-2
江苏,南京,20.0,12.0,37,-6
四川,成都,20.4,12.7,35,-5
贵州,贵阳,21.1,14.1,36,-4
云南,昆明,20.7,10.8,29,2
广西,南宁,25.0,17.0,36,1
西藏,拉萨,16.9,3.4,28,-10
浙江,杭州,21.0,13.4,38,-3
江西,南昌,21.5,15.0,38,-1
广东,广州,26.0,17.9,36,4
福建,福州,24.0,16.8,38,2
台湾,台北,25.8,19.4,36,9
海南,海口,26.6,20.5,36,10
