省份,城市,平均高温,平均低温,极端高温,极端低温
北京,北京,18.9,8.7,38,-19
上海,上海,21.1,14.6,40,-1
天津,天津,19.2,10.6,39,-9
重庆,重庆,21.9,15.6,41,0
黑龙江,哈尔滨,10.5,0.1,35,-28
吉林,长春,11.7,1.6,33,-24
辽宁,沈阳,14.9,3.1,36,-21
内蒙古,呼和浩特,13.9,1.9,35,-22
河北,石家庄,19.5,10.1,40,-10
新疆,乌鲁木齐,12.5,3.9,39,-20
甘肃,兰州,17.2,5.6,38,-10
青海,西宁,13.2,-0.9,33,-22
陕西,西安,20.0,10.3,41,-5
宁夏,银川,16.5,5.2,40,-16
河南,郑州,20.6,11.2,39,-6
山东,济南,20.0,11.1,38,-8
山西,太原,17.8,5.1,37,-15
安徽,合肥,21.0,12.6,40,-5
湖北,武汉,21.2,12.6,40,-5
湖南,长沙,22.0,15.1,40,-1
江苏,南京,20.6,12.6,40,-4
四川,成都,20.8,13.0,36,0
贵州,贵阳,22.1,15.1,37,-1
云南,昆明,20.4,10.8,29,0
广西,南宁,26.2,18.5,38,0
西藏,拉萨,16.2,3.2,27,-21
浙江,杭州,21.8,14.1,41,-3
江西,南昌,22.4,15.3,39,0
广东,广州,26.7,19.2,37,0
福建,福州,24.8,17.5,39,0
台湾,台北,21.6,2.8,35,0
海南,海口,27.6,21.6,37,0
