省份,城市,平均高温,平均低温,极端高温,极端低温
北京,北京,19.4,9.7,38,-18
上海,上海,21.1,14.7,37,-3
天津,天津,18.5,9.8,40,-15
重庆,重庆,21.5,14.9,40,0
黑龙江,哈尔滨,10.3,-0.6,38,-34
吉林,长春,11.8,1.5,35,-29
辽宁,沈阳,14.3,2.8,38,-28
内蒙古,呼和浩特,13.3,1.5,34,-24
河北,石家庄,19.2,9.7,41,-11
新疆,乌鲁木齐,11.8,2.9,36,-28
甘肃,兰州,16.8,5.7,36,-15
青海,西宁,11.5,-2.7,30,-273
陕西,西安,20.5,10.0,40,-9
宁夏,银川,16.6,4.7,36,-22
河南,郑州,20.6,11.1,38,-10
山东,济南,19.6,11.0,37,-10
山西,太原,17.4,4.6,36,-17
安徽,合肥,21.0,12.3,37,-10
湖北,武汉,21.6,12.4,38,-7
湖南,长沙,22.0,14.9,38,-6
江苏,南京,20.5,12.6,37,-7
四川,成都,21.2,12.9,36,-3
贵州,贵阳,21.9,14.7,36,-4
云南,昆明,20.1,10.1,29,-5
广西,南宁,25.5,18.7,36,4
西藏,拉萨,13.4,1.1,28,-21
浙江,杭州,21.7,13.9,37,-5
江西,南昌,22.4,15.6,37,-2
广东,广州,26.2,18.9,36,0
福建,福州,24.4,17.2,37,1
台湾,台北,25.8,19.5,36,2
海南,海口,27.8,21.5,37,8
