省份,城市,平均高温,平均低温,极端高温,极端低温
北京,北京,18.2,8.7,36,-16
上海,上海,20.8,14.8,39,-7
天津,天津,18.7,10.4,37,-14
重庆,重庆,22.3,15.8,40,-1
黑龙江,哈尔滨,10.1,0.3,35,-33
吉林,长春,11.3,1.9,33,-28
辽宁,沈阳,14.2,3.4,35,-24
内蒙古,呼和浩特,13.2,1.9,32,-26
河北,石家庄,19.2,10.0,37,-13
新疆,乌鲁木齐,12.7,4.3,36,-20
甘肃,兰州,18.0,6.1,36,-17
青海,西宁,14.8,-0.1,32,-22
陕西,西安,19.9,10.9,38,-13
宁夏,银川,16.5,5.3,37,-22
河南,郑州,20.5,11.4,37,-9
山东,济南,19.7,11.1,36,-16
山西,太原,17.6,5.5,34,-21
安徽,合肥,20.5,13.1,39,-9
湖北,武汉,21.1,13.0,38,-8
湖南,长沙,21.7,15.2,39,-5
江苏,南京,20.4,13.1,39,-9
四川,成都,21.0,13.0,36,-3
贵州,贵阳,21.9,15.2,38,-6
云南,昆明,21.1,11.0,30,-2
广西,南宁,26.6,19.0,38,2
西藏,拉萨,16.7,3.5,27,-11
浙江,杭州,21.6,14.2,39,-10
江西,南昌,22.2,16.0,39,-7
广东,广州,26.2,19.0,37,1
福建,福州,24.6,17.8,38,-1
台湾,台北,24.3,12.0,37,0
海南,海口,28.0,21.7,37,6
