省份,城市,平均高温,平均低温,极端高温,极端低温
北京,北京,18.2,8.2,39,-9
上海,上海,20.3,14.4,38,-1
天津,天津,18.7,10.3,37,-8
重庆,重庆,22.4,16.0,38,5
黑龙江,哈尔滨,10.9,0.5,34,-29
吉林,长春,12.0,2.2,33,-25
辽宁,沈阳,14.7,3.5,34,-22
内蒙古,呼和浩特,13.4,2.2,32,-18
河北,石家庄,19.0,10.0,40,-7
新疆,乌鲁木齐,13.4,4.3,41,-21
甘肃,兰州,18.1,6.1,38,-10
青海,西宁,14.4,-0.5,32,-18
陕西,西安,19.6,10.4,39,-6
宁夏,银川,16.8,4.9,37,-14
河南,郑州,20.1,11.0,38,-7
山东,济南,19.6,10.8,38,-8
山西,太原,17.7,5.3,36,-14
安徽,合肥,20.6,12.4,37,-5
湖北,武汉,20.9,12.4,36,-4
湖南,长沙,21.3,15.0,37,-1
江苏,南京,20.2,12.6,37,-4
四川,成都,21.8,13.5,35,0
贵州,贵阳,22.0,15.4,36,0
云南,昆明,21.3,10.9,31,0
广西,南宁,26.4,19.0,37,5
西藏,拉萨,16.3,3.0,28,-11
浙江,杭州,21.0,13.7,39,-3
江西,南昌,22.1,15.5,37,-1
广东,广州,26.8,19.4,36,5
福建,福州,24.6,17.5,38,4
台湾,台北,27.0,22.1,35,6
海南,海口,28.9,22.1,39,10
