省份,城市,平均高温,平均低温,极端高温,极端低温
北京,北京,17.8,7.7,37,-14
上海,上海,21.2,14.5,40,-2
天津,天津,18.1,9.8,37,-11
重庆,重庆,23.2,16.0,40,3
黑龙江,哈尔滨,9.2,-0.3,33,-33
吉林,长春,10.1,1.0,32,-30
辽宁,沈阳,13.3,2.8,33,-28
内蒙古,呼和浩特,13.4,2.3,32,-24
河北,石家庄,18.7,9.4,38,-11
新疆,乌鲁木齐,13.6,4.5,35,-22
甘肃,兰州,18.2,6.0,35,-13
青海,西宁,14.9,-0.4,31,-19
陕西,西安,21.5,11.1,38,-7
宁夏,银川,17.4,5.3,36,-19
河南,郑州,20.6,11.2,39,-8
山东,济南,19.3,10.6,37,-13
山西,太原,18.1,5.0,35,-17
安徽,合肥,21.5,12.7,39,-7
湖北,武汉,22.2,12.8,38,-5
湖南,长沙,22.9,15.5,40,-3
江苏,南京,21.2,12.3,39,-5
四川,成都,21.9,13.3,36,-2
贵州,贵阳,22.8,15.1,37,-3
云南,昆明,21.4,10.8,30,-3
广西,南宁,25.6,18.3,36,3
西藏,拉萨,16.2,3.0,28,-13
浙江,杭州,22.2,13.7,41,-4
江西,南昌,22.8,15.6,38,-2
广东,广州,25.9,18.1,35,4
福建,福州,24.5,16.9,40,3
台湾,台北,25.3,19.9,36,7
海南,海口,27.5,21.3,36,10
