省份,城市,平均高温,平均低温,极端高温,极端低温
北京,北京,17.5,7.7,38,-15
上海,上海,20.1,14.0,38,-3
天津,天津,17.8,9.4,37,-11
重庆,重庆,20.9,15.1,40,2
黑龙江,哈尔滨,10.0,-0.0,34,-32
吉林,长春,10.2,0.7,32,-30
辽宁,沈阳,13.2,2.1,32,-27
内蒙古,呼和浩特,12.7,1.9,32,-26
河北,石家庄,18.7,9.3,38,-10
新疆,乌鲁木齐,11.9,3.5,35,-29
甘肃,兰州,16.4,5.6,34,-16
青海,西宁,13.1,-0.8,29,-22
陕西,西安,19.1,9.9,37,-8
宁夏,银川,15.7,4.1,35,-19
河南,郑州,19.6,10.6,38,-8
山东,济南,18.8,10.1,37,-11
山西,太原,16.4,5.1,35,-15
安徽,合肥,20.1,12.2,37,-6
湖北,武汉,20.4,12.5,36,-6
湖南,长沙,20.4,14.4,37,-3
江苏,南京,19.7,12.2,36,-6
四川,成都,19.8,12.9,35,-1
贵州,贵阳,20.5,14.2,35,-2
云南,昆明,21.7,11.2,28,-1
广西,南宁,25.1,18.4,36,4
西藏,拉萨,17.3,3.5,29,-13
浙江,杭州,20.5,13.4,38,-4
江西,南昌,20.9,15.0,37,-3
广东,广州,25.7,18.6,37,3
福建,福州,23.8,17.0,38,2
台湾,台北,25.4,19.9,36,7
海南,海口,27.9,21.7,36,10
