省份,城市,平均高温,平均低温,极端高温,极端低温
北京,北京,17.7,8.5,36,-20
上海,上海,21.4,14.3,38,-6
天津,天津,18.1,9.2,38,-17
重庆,重庆,20.9,14.9,40,0
黑龙江,哈尔滨,10.1,0.6,33,-31
吉林,长春,11.7,2.9,32,-29
辽宁,沈阳,14.7,4.1,35,-27
内蒙古,呼和浩特,14.0,2.7,34,-28
河北,石家庄,19.3,10.0,38,-20
新疆,乌鲁木齐,13.7,4.0,40,-24
甘肃,兰州,15.6,5.0,38,-16
青海,西宁,14.9,2.5,34,-18
陕西,西安,18.8,9.0,38,-25
宁夏,银川,17.3,5.4,38,-21
河南,郑州,20.8,11.6,39,-11
山东,济南,18.9,10.7,36,-19
山西,太原,17.5,4.7,35,-21
安徽,合肥,20.8,11.8,38,-9
湖北,武汉,21.7,13.3,38,-7
湖南,长沙,22.2,14.5,40,-4
江苏,南京,20.9,13.0,36,-9
四川,成都,21.1,13.6,40,-2
贵州,贵阳,22.8,15.7,37,-3
云南,昆明,21.3,11.8,36,-1
广西,南宁,26.4,19.0,37,4
西藏,拉萨,11.8,0.7,37,-18
浙江,杭州,22.0,14.3,38,-6
江西,南昌,21.0,13.8,37,-36
广东,广州,27.6,19.0,38,-1
福建,福州,24.4,16.6,40,-15
台湾,台北,24.5,18.6,43,-18
海南,海口,28.0,21.7,38,5
