年份,平均高温,平均低温,极端高温,极端低温
2011,11.9,3.4,38,-25
2012,11.9,3.5,35,-29
2013,13.6,4.5,35,-22
2014,12.2,3.1,36,-24
2015,13.4,4.3,41,-21
2016,12.7,4.3,36,-20
2017,12.5,3.9,39,-20
2018,11.8,2.9,36,-28
2019,12.9,4.5,37,-23
2020,13.2,4.9,36,-21
2021,13.7,4.0,40,-24
2022,16.6,6.8,39,-21
