年份,平均高温,平均低温,极端高温,极端低温
2011,18.4,10.1,38,-8
2012,19.1,9.9,37,-8
2013,21.5,11.1,38,-7
2014,19.5,10.4,38,-5
2015,19.6,10.4,39,-6
2016,19.9,10.9,38,-13
2017,20.0,10.3,41,-5
2018,20.5,10.0,40,-9
2019,19.6,9.6,38,-17
2020,19.5,9.9,39,-22
2021,18.8,9.0,38,-25
2022,21.0,9.5,41,-23
