省份,城市,平均高温,平均低温,极端高温,极端低温
上海,上海,21.0,14.9,37,0
云南,昆明,22.4,11.0,31,-2
内蒙古,呼和浩特,13.8,1.6,33,-23
北京,北京,19.0,8.2,38,-12
台湾,台北,24.2,19.9,33,12
吉林,长春,12.7,2.4,35,-26
四川,成都,20.3,13.2,35,1
天津,天津,19.3,10.4,39,-9
宁夏,银川,16.8,4.8,35,-16
安徽,合肥,20.9,12.1,38,-5
山东,济南,20.3,11.1,38,-9
山西,太原,18.1,4.1,37,-17
广东,广州,27.3,19.7,37,7
广西,南宁,26.3,18.7,37,4
新疆,乌鲁木齐,12.8,3.7,37,-23
江苏,南京,21.0,12.6,38,-4
江西,南昌,22.7,15.4,38,0
河北,石家庄,19.7,9.7,39,-10
河南,郑州,21.1,11.2,39,-7
浙江,杭州,21.4,13.8,38,0
海南,海口,29.2,22.4,38,11
湖北,武汉,21.7,12.6,38,-5
湖南,长沙,22.1,14.6,38,-2
澳门,澳门,26.2,21.2,35,9
甘肃,兰州,17.3,5.4,36,-11
福建,福州,25.0,17.5,37,5
西藏,拉萨,15.9,3.4,29,-11
贵州,贵阳,18.6,11.2,32,-4
辽宁,沈阳,15.5,3.4,36,-22
重庆,重庆,22.0,15.9,39,4
陕西,西安,19.7,9.6,40,-7
青海,西宁,12.9,0.3,30,-18
香港,香港,26.7,21.8,35,11
黑龙江,哈尔滨,11.3,0.7,34,-29
