省份,城市,平均高温,平均低温,极端高温,极端低温
上海,上海,21.1,15.0,37,-3
云南,昆明,20.9,10.7,28,-1
内蒙古,呼和浩特,13.6,1.7,33,-25
北京,北京,18.3,8.1,38,-12
台湾,台北,25.8,20.2,36,6
吉林,长春,11.8,1.8,36,-30
四川,成都,21.0,13.5,35,-2
天津,天津,18.7,10.2,38,-12
宁夏,银川,16.8,4.7,36,-18
安徽,合肥,21.3,12.7,38,-10
山东,济南,19.9,11.2,38,-10
山西,太原,17.6,4.5,35,-18
广东,广州,26.5,19.0,35,4
广西,南宁,25.9,18.5,36,3
新疆,乌鲁木齐,11.7,2.7,37,-28
江苏,南京,20.7,12.9,37,-8
江西,南昌,22.8,15.5,38,-3
河北,石家庄,19.2,9.8,39,-11
河南,郑州,20.7,11.2,39,-10
浙江,杭州,22.1,14.2,38,-5
海南,海口,27.7,21.5,37,8
湖北,武汉,21.9,12.8,38,-7
湖南,长沙,22.5,15.5,38,-4
澳门,澳门,25.7,20.3,34,0
甘肃,兰州,17.2,5.4,35,-19
福建,福州,24.9,17.4,37,0
西藏,拉萨,16.3,3.4,29,-13
贵州,贵阳,18.4,11.4,31,-7
辽宁,沈阳,14.6,3.0,38,-27
重庆,重庆,22.1,15.8,40,2
陕西,西安,20.3,9.5,40,-13
青海,西宁,14.0,-0.0,30,-21
香港,香港,26.1,21.2,35,0
黑龙江,哈尔滨,10.3,-0.1,34,-35
