省份,城市,平均高温,平均低温,极端高温,极端低温
上海,上海,20.0,13.8,38,-4
云南,昆明,21.8,10.9,29,0
内蒙古,呼和浩特,12.5,1.7,33,-26
北京,北京,17.2,7.7,38,-15
台湾,台北,25.5,20.0,37,7
吉林,长春,9.9,0.3,32,-30
四川,成都,19.8,12.8,35,-2
天津,天津,17.5,7.9,37,-13
宁夏,银川,15.7,4.2,35,-19
安徽,合肥,20.2,12.2,38,-6
山东,济南,18.8,10.1,37,-11
山西,太原,16.3,5.1,35,-16
广东,广州,25.7,18.4,37,3
广西,南宁,25.2,18.2,36,3
新疆,乌鲁木齐,11.8,3.3,35,-29
江苏,南京,19.9,12.0,36,-6
江西,南昌,20.8,14.8,37,-3
河北,石家庄,18.6,9.1,38,-10
河南,郑州,19.6,10.6,38,-7
浙江,杭州,20.7,13.5,38,-4
海南,海口,27.9,21.6,36,9
湖北,武汉,20.7,12.3,36,-6
湖南,长沙,20.4,14.4,37,-2
澳门,澳门,25.1,20.2,35,6
甘肃,兰州,16.2,5.4,34,-16
福建,福州,23.6,16.7,38,4
西藏,拉萨,17.1,3.4,29,-13
贵州,贵阳,16.9,10.8,30,-4
辽宁,沈阳,13.0,1.8,32,-27
重庆,重庆,21.1,15.1,40,2
陕西,西安,19.2,10.3,37,-7
青海,西宁,13.1,-0.9,29,-21
香港,香港,25.5,21.0,34,7
黑龙江,哈尔滨,9.6,-0.2,34,-32
