省份,城市,平均高温,平均低温,极端高温,极端低温
上海,上海,21.9,16.0,39,-7
云南,昆明,21.9,11.6,30,-5
内蒙古,呼和浩特,14.8,3.1,32,-27
北京,北京,19.9,9.7,36,-17
台湾,台北,26.4,21.2,35,4
吉林,长春,13.1,3.1,33,-28
四川,成都,22.8,14.2,37,-2
天津,天津,20.3,11.6,36,-15
宁夏,银川,18.4,6.4,37,-22
安徽,合肥,21.5,14.0,39,-9
山东,济南,21.0,12.3,36,-16
山西,太原,18.9,6.5,35,-21
广东,广州,27.1,20.0,37,0
广西,南宁,27.1,19.2,37,-1
新疆,乌鲁木齐,14.4,5.9,36,-20
江苏,南京,21.4,14.1,39,-9
江西,南昌,23.2,16.7,38,-5
河北,石家庄,20.4,11.1,37,-14
河南,郑州,21.7,12.5,37,-11
浙江,杭州,22.7,15.5,39,-9
海南,海口,28.7,22.2,37,5
湖北,武汉,22.4,14.3,38,-8
湖南,长沙,22.6,16.2,39,-5
澳门,澳门,26.0,21.2,36,2
甘肃,兰州,19.2,6.9,36,-17
福建,福州,25.9,18.4,38,-1
西藏,拉萨,17.1,4.3,27,-10
贵州,贵阳,19.8,12.7,32,-5
辽宁,沈阳,15.7,4.5,35,-26
重庆,重庆,23.5,17.0,40,-1
陕西,西安,21.4,12.5,38,-12
青海,西宁,15.8,0.8,33,-23
香港,香港,26.0,21.6,34,4
黑龙江,哈尔滨,11.8,1.9,35,-33
