省份,城市,平均高温,平均低温,极端高温,极端低温
上海,上海,20.7,14.0,40,0
云南,昆明,20.7,10.9,30,0
内蒙古,呼和浩特,16.3,2.3,37,-19
北京,北京,19.0,8.3,39,-9
台湾,台北,23.5,19.2,34,10
吉林,长春,12.0,2.2,31,-22
四川,成都,21.7,13.5,39,2
天津,天津,19.0,10.4,39,-7
宁夏,银川,18.2,5.3,37,-13
安徽,合肥,20.8,11.5,39,-4
山东,济南,20.3,11.4,40,-6
山西,太原,18.7,4.1,37,-15
广东,广州,25.5,18.0,39,4
广西,南宁,24.3,17.1,37,4
新疆,乌鲁木齐,14.9,5.6,39,-18
江苏,南京,21.1,12.5,39,-3
江西,南昌,21.6,15.3,39,0
河北,石家庄,20.0,9.8,40,-8
河南,郑州,21.1,11.5,40,-4
浙江,杭州,21.0,13.3,40,-1
海南,海口,27.4,20.8,36,8
湖北,武汉,21.1,13.0,37,-2
湖南,长沙,21.3,13.8,38,-1
澳门,澳门,24.7,19.9,36,8
甘肃,兰州,19.6,6.4,39,-12
福建,福州,23.8,16.7,42,3
西藏,拉萨,16.5,3.5,28,-11
贵州,贵阳,17.7,10.5,33,-3
辽宁,沈阳,14.6,3.3,33,-20
重庆,重庆,22.8,15.7,41,3
陕西,西安,21.4,11.2,41,-4
青海,西宁,14.7,0.8,34,-16
香港,香港,24.8,20.1,36,8
黑龙江,哈尔滨,10.3,-0.2,32,-27
