省份,城市,平均高温,平均低温,极端高温,极端低温
上海,上海,20.4,14.3,38,-1
云南,昆明,21.8,10.9,31,-1
内蒙古,呼和浩特,13.4,2.4,32,-17
北京,北京,18.3,8.5,39,-9
台湾,台北,25.9,20.4,35,6
吉林,长春,12.0,1.9,33,-25
四川,成都,21.7,13.5,36,0
天津,天津,18.5,10.4,37,-8
宁夏,银川,16.8,5.1,37,-14
安徽,合肥,20.6,12.4,37,-4
山东,济南,19.5,10.9,38,-10
山西,太原,17.7,5.4,36,-14
广东,广州,27.1,19.4,37,5
广西,南宁,26.4,18.5,37,4
新疆,乌鲁木齐,13.2,4.5,42,-20
江苏,南京,20.1,12.4,37,-4
江西,南昌,22.2,15.4,37,-1
河北,石家庄,19.0,10.1,40,-8
河南,郑州,20.1,11.1,38,-7
浙江,杭州,21.1,13.8,39,-2
海南,海口,29.0,22.2,39,10
湖北,武汉,21.2,12.6,36,-4
湖南,长沙,21.2,14.9,37,-1
澳门,澳门,26.4,21.2,36,9
甘肃,兰州,18.1,6.2,38,-11
福建,福州,24.7,17.4,38,4
西藏,拉萨,16.5,3.2,28,-11
贵州,贵阳,18.7,12.0,31,-3
辽宁,沈阳,14.6,3.2,35,-22
重庆,重庆,22.3,16.3,38,5
陕西,西安,20.0,10.7,39,-5
青海,西宁,14.5,-0.5,34,-18
香港,香港,25.9,21.8,35,11
黑龙江,哈尔滨,10.9,0.4,34,-30
