省份,城市,平均高温,平均低温,极端高温,极端低温
上海,上海,21.1,14.2,40,-2
云南,昆明,21.6,10.7,30,-3
内蒙古,呼和浩特,13.6,2.3,32,-24
北京,北京,17.6,7.9,37,-14
台湾,台北,25.4,19.9,36,7
吉林,长春,9.9,1.0,32,-28
四川,成都,22.0,13.3,36,-2
天津,天津,18.0,8.7,37,-13
宁夏,银川,17.3,5.4,36,-19
安徽,合肥,21.5,12.6,39,-7
山东,济南,19.0,10.4,37,-13
山西,太原,17.8,5.1,35,-17
广东,广州,25.9,18.1,36,4
广西,南宁,25.7,18.0,36,2
新疆,乌鲁木齐,13.4,4.6,35,-22
江苏,南京,21.2,12.5,39,-5
江西,南昌,22.6,15.4,38,-2
河北,石家庄,18.5,9.4,38,-11
河南,郑州,20.5,11.3,39,-8
浙江,杭州,22.0,13.9,41,-4
海南,海口,27.6,21.3,36,10
湖北,武汉,22.3,12.9,38,-5
湖南,长沙,22.7,15.4,40,-3
澳门,澳门,25.8,20.6,35,8
甘肃,兰州,18.2,6.0,35,-13
福建,福州,24.4,17.0,40,3
西藏,拉萨,16.4,2.9,28,-13
贵州,贵阳,18.7,11.8,31,-4
辽宁,沈阳,13.1,2.9,33,-29
重庆,重庆,23.3,16.4,40,2
陕西,西安,21.4,11.3,38,-7
青海,西宁,14.9,-0.3,32,-19
香港,香港,25.6,20.8,35,8
黑龙江,哈尔滨,9.2,-0.3,33,-33
