省份,城市,平均高温,平均低温,极端高温,极端低温
上海,上海,21.4,15.0,37,-6
云南,昆明,21.4,11.8,31,-2
内蒙古,呼和浩特,14.6,2.4,36,-28
北京,北京,18.2,8.4,36,-17
台湾,台北,24.6,20.1,32,6
吉林,长春,11.9,2.6,33,-28
四川,成都,20.4,13.8,36,-1
天津,天津,18.7,10.4,36,-16
宁夏,银川,17.5,5.0,38,-21
安徽,合肥,20.8,11.7,36,-9
山东,济南,19.6,11.1,37,-18
山西,太原,17.9,4.5,36,-20
广东,广州,27.5,19.0,37,4
广西,南宁,26.6,18.7,37,3
新疆,乌鲁木齐,13.0,4.1,38,-24
江苏,南京,21.3,13.4,36,-7
江西,南昌,23.3,16.1,38,-4
河北,石家庄,19.5,9.6,39,-16
河南,郑州,21.3,11.5,39,-11
浙江,杭州,22.0,14.4,37,-5
海南,海口,28.0,21.4,38,5
湖北,武汉,21.9,13.0,37,-7
湖南,长沙,22.7,14.8,38,-4
澳门,澳门,25.8,21.0,35,7
甘肃,兰州,18.0,5.4,38,-15
福建,福州,25.8,18.0,39,1
西藏,拉萨,16.9,3.8,28,-10
贵州,贵阳,18.9,11.4,33,-5
辽宁,沈阳,14.7,3.8,35,-27
重庆,重庆,22.0,15.6,40,0
陕西,西安,20.4,9.9,39,-11
青海,西宁,13.3,0.6,32,-18
香港,香港,26.0,20.9,34,6
黑龙江,哈尔滨,10.1,0.7,34,-32
