省份,城市,平均高温,平均低温,极端高温,极端低温
上海,上海,21.1,14.8,38,-1
云南,昆明,20.7,10.9,29,0
内蒙古,呼和浩特,13.9,2.1,34,-22
北京,北京,18.7,8.6,37,-10
台湾,台北,27.0,20.6,37,7
吉林,长春,12.0,1.7,33,-24
四川,成都,21.0,13.3,36,-5
天津,天津,19.1,10.6,37,-8
宁夏,银川,17.0,5.3,34,-17
安徽,合肥,20.8,12.5,37,-4
山东,济南,20.1,11.0,36,-8
山西,太原,18.0,5.0,36,-15
广东,广州,26.6,19.5,37,6
广西,南宁,25.9,18.3,36,4
新疆,乌鲁木齐,12.7,3.9,36,-20
江苏,南京,20.3,12.6,37,-4
江西,南昌,22.1,15.4,38,0
河北,石家庄,19.7,10.3,37,-10
河南,郑州,20.9,11.2,38,-6
浙江,杭州,21.9,14.0,38,-3
海南,海口,27.9,21.8,37,10
湖北,武汉,21.5,12.9,37,-4
湖南,长沙,21.6,14.9,39,-1
澳门,澳门,26.2,20.9,36,9
甘肃,兰州,17.3,5.4,33,-11
福建,福州,25.0,17.6,38,5
西藏,拉萨,16.7,3.6,27,-14
贵州,贵阳,18.4,11.6,32,-1
辽宁,沈阳,15.0,3.2,36,-21
重庆,重庆,22.1,16.1,40,4
陕西,西安,20.1,10.3,40,-7
青海,西宁,13.9,-0.5,30,-18
香港,香港,26.0,21.5,36,10
黑龙江,哈尔滨,10.7,0.0,35,-28
