年份,平均高温,平均低温,极端高温,极端低温
2011,21.0,13.4,38,-5
2012,20.7,13.5,38,-4
2013,22.0,13.9,41,-4
2014,21.5,13.6,38,-3
2015,21.1,13.8,39,-2
2016,22.7,15.5,39,-9
2017,21.9,14.0,38,-3
2018,22.1,14.2,38,-5
2019,21.4,13.8,38,0
2020,21.5,14.2,38,-4
2021,22.0,14.4,37,-5
2022,21.0,13.3,40,-1
