年份,平均高温,平均低温,极端高温,极端低温
2011,10.1,0.1,34,-30
2012,9.6,-0.2,34,-32
2013,9.2,-0.3,33,-33
2014,10.5,-0.3,37,-33
2015,10.9,0.4,34,-30
2016,11.8,1.9,35,-33
2017,10.7,0.0,35,-28
2018,10.3,-0.1,34,-35
2019,11.3,0.7,34,-29
2020,10.2,0.5,34,-29
2021,10.1,0.7,34,-32
2022,10.3,-0.2,32,-27
