年份,平均高温,平均低温,极端高温,极端低温
2011,18.7,9.4,38,-9
2012,18.6,9.1,38,-10
2013,18.5,9.4,38,-11
2014,19.3,10.3,40,-8
2015,19.0,10.1,40,-8
2016,20.4,11.1,37,-14
2017,19.7,10.3,37,-10
2018,19.2,9.8,39,-11
2019,19.7,9.7,39,-10
2020,19.3,9.8,39,-9
2021,19.5,9.6,39,-16
2022,20.0,9.8,40,-8
