年份,平均高温,平均低温,极端高温,极端低温
2011,22.1,15.7,42,2
2012,21.1,15.1,40,2
2013,23.3,16.4,40,2
2014,21.3,15.6,40,3
2015,22.3,16.3,38,5
2016,23.5,17.0,40,-1
2017,22.1,16.1,40,4
2018,22.1,15.8,40,2
2019,22.0,15.9,39,4
2020,21.7,15.8,39,3
2021,22.0,15.6,40,0
2022,22.8,15.7,41,3
