年份,平均高温,平均低温,极端高温,极端低温
2011,20.3,12.1,36,-7
2012,20.2,12.2,38,-6
2013,21.5,12.6,39,-7
2014,20.5,12.4,37,-5
2015,20.6,12.4,37,-4
2016,21.5,14.0,39,-9
2017,20.8,12.5,37,-4
2018,21.3,12.7,38,-10
2019,20.9,12.1,38,-5
2020,20.2,11.8,37,-7
2021,20.8,11.7,36,-9
2022,20.8,11.5,39,-4
