年份,平均高温,平均低温,极端高温,极端低温
2011,25.1,17.2,36,2
2012,25.2,18.2,36,3
2013,25.7,18.0,36,2
2014,25.8,17.9,36,1
2015,26.4,18.5,37,4
2016,27.1,19.2,37,-1
2017,25.9,18.3,36,4
2018,25.9,18.5,36,3
2019,26.3,18.7,37,4
2020,26.0,18.7,36,4
2021,26.6,18.7,37,3
2022,24.3,17.1,37,4
