年份,平均高温,平均低温,极端高温,极端低温
2011,20.5,13.7,37,-3
2012,20.0,13.8,38,-4
2013,21.1,14.2,40,-2
2014,20.3,14.3,36,-1
2015,20.4,14.3,38,-1
2016,21.9,16.0,39,-7
2017,21.1,14.8,38,-1
2018,21.1,15.0,37,-3
2019,21.0,14.9,37,0
2020,21.0,15.0,38,-6
2021,21.4,15.0,37,-6
2022,20.7,14.0,40,0
