年份,平均高温,平均低温,极端高温,极端低温
2011,16.4,5.2,36,-15
2012,16.3,5.1,35,-16
2013,17.8,5.1,35,-17
2014,17.5,5.1,36,-14
2015,17.7,5.4,36,-14
2016,18.9,6.5,35,-21
2017,18.0,5.0,36,-15
2018,17.6,4.5,35,-18
2019,18.1,4.1,37,-17
2020,17.8,4.2,36,-21
2021,17.9,4.5,36,-20
2022,18.7,4.1,37,-15
