年份,平均高温,平均低温,极端高温,极端低温
2011,19.4,10.1,39,-8
2012,19.6,10.6,38,-7
2013,20.5,11.3,39,-8
2014,20.5,11.4,39,-7
2015,20.1,11.1,38,-7
2016,21.7,12.5,37,-11
2017,20.9,11.2,38,-6
2018,20.7,11.2,39,-10
2019,21.1,11.2,39,-7
2020,20.8,11.4,40,-7
2021,21.3,11.5,39,-11
2022,21.1,11.5,40,-4
