年份,平均高温,平均低温,极端高温,极端低温
2011,27.3,20.7,36,10
2012,25.5,20.0,37,7
2013,25.4,19.9,36,7
2014,25.3,19.8,34,7
2015,25.9,20.4,35,6
2016,26.4,21.2,35,4
2017,27.0,20.6,37,7
2018,25.8,20.2,36,6
2019,24.2,19.9,33,12
2020,24.5,20.4,36,6
2021,24.6,20.1,32,6
2022,23.5,19.2,34,10
