年份,平均高温,平均低温,极端高温,极端低温
2011,20.6,10.6,29,0
2012,21.8,10.9,29,0
2013,21.6,10.7,30,-3
2014,22.0,11.1,32,-1
2015,21.8,10.9,31,-1
2016,21.9,11.6,30,-5
2017,20.7,10.9,29,0
2018,20.9,10.7,28,-1
2019,22.4,11.0,31,-2
2020,21.8,11.2,30,0
2021,21.4,11.8,31,-2
2022,20.7,10.9,30,0
