年份,平均高温,平均低温,极端高温,极端低温
2011,15.5,4.3,37,-19
2012,15.7,4.2,35,-19
2013,17.3,5.4,36,-19
2014,16.9,4.9,38,-16
2015,16.8,5.1,37,-14
2016,18.4,6.4,37,-22
2017,17.0,5.3,34,-17
2018,16.8,4.7,36,-18
2019,16.8,4.8,35,-16
2020,16.9,4.5,37,-20
2021,17.5,5.0,38,-21
2022,18.2,5.3,37,-13
