年份,平均高温,平均低温,极端高温,极端低温
2011,18.1,8.4,36,-12
2012,17.5,7.9,37,-13
2013,18.0,8.7,37,-13
2014,19.3,10.6,39,-8
2015,18.5,10.4,37,-8
2016,20.3,11.6,36,-15
2017,19.1,10.6,37,-8
2018,18.7,10.2,38,-12
2019,19.3,10.4,39,-9
2020,18.7,10.5,37,-11
2021,18.7,10.4,36,-16
2022,19.0,10.4,39,-7
