年份,平均高温,平均低温,极端高温,极端低温
2011,16.9,3.3,28,-11
2012,17.1,3.4,29,-13
2013,16.4,2.9,28,-13
2014,16.7,3.6,28,-12
2015,16.5,3.2,28,-11
2016,17.1,4.3,27,-10
2017,16.7,3.6,27,-14
2018,16.3,3.4,29,-13
2019,15.9,3.4,29,-11
2020,16.4,3.5,27,-9
2021,16.9,3.8,28,-10
2022,16.5,3.5,28,-11
