年份,平均高温,平均低温,极端高温,极端低温
2011,13.9,-0.6,32,-22
2012,13.1,-0.9,29,-21
2013,14.9,-0.3,32,-19
2014,13.9,-0.7,31,-19
2015,14.5,-0.5,34,-18
2016,15.8,0.8,33,-23
2017,13.9,-0.5,30,-18
2018,14.0,-0.0,30,-21
2019,12.9,0.3,30,-18
2020,12.5,0.7,28,-17
2021,13.3,0.6,32,-18
2022,14.7,0.8,34,-16
