年份,平均高温,平均低温,极端高温,极端低温
2011,17.4,10.7,32,-5
2012,16.9,10.8,30,-4
2013,18.7,11.8,31,-4
2014,18.2,11.5,32,-5
2015,18.7,12.0,31,-3
2016,19.8,12.7,32,-5
2017,18.4,11.6,32,-1
2018,18.4,11.4,31,-7
2019,18.6,11.2,32,-4
2020,18.4,11.3,32,-3
2021,18.9,11.4,33,-5
2022,17.7,10.5,33,-3
