年份,平均高温,平均低温,极端高温,极端低温
2011,18.8,10.4,38,-6
2012,19.2,10.3,37,-7
2013,21.4,11.3,38,-7
2014,19.7,10.7,39,-6
2015,20.0,10.7,39,-5
2016,21.4,12.5,38,-12
2017,20.1,10.3,40,-7
2018,20.3,9.5,40,-13
2019,19.7,9.6,40,-7
2020,19.8,9.6,38,-8
2021,20.4,9.9,39,-11
2022,21.4,11.2,41,-4
