年份,平均高温,平均低温,极端高温,极端低温
2011,10.7,1.2,32,-30
2012,9.9,0.3,32,-30
2013,9.9,1.0,32,-28
2014,12.2,1.8,33,-26
2015,12.0,1.9,33,-25
2016,13.1,3.1,33,-28
2017,12.0,1.7,33,-24
2018,11.8,1.8,36,-30
2019,12.7,2.4,35,-26
2020,11.8,2.2,34,-27
2021,11.9,2.6,33,-28
2022,12.0,2.2,31,-22
