年份,平均高温,平均低温,极端高温,极端低温
2011,16.4,5.6,36,-15
2012,16.2,5.4,34,-16
2013,18.2,6.0,35,-13
2014,17.1,5.7,36,-12
2015,18.1,6.2,38,-11
2016,19.2,6.9,36,-17
2017,17.3,5.4,33,-11
2018,17.2,5.4,35,-19
2019,17.3,5.4,36,-11
2020,17.3,5.4,35,-16
2021,18.0,5.4,38,-15
2022,19.6,6.4,39,-12
