年份,平均高温,平均低温,极端高温,极端低温
2011,13.5,2.1,32,-30
2012,13.0,1.8,32,-27
2013,13.1,2.9,33,-29
2014,15.2,3.2,35,-24
2015,14.6,3.2,35,-22
2016,15.7,4.5,35,-26
2017,15.0,3.2,36,-21
2018,14.6,3.0,38,-27
2019,15.5,3.4,36,-22
2020,14.7,3.6,35,-22
2021,14.7,3.8,35,-27
2022,14.6,3.3,33,-20
