年份,平均高温,平均低温,极端高温,极端低温
2011,20.1,11.9,36,-7
2012,19.9,12.0,36,-6
2013,21.2,12.5,39,-5
2014,20.2,12.4,36,-5
2015,20.1,12.4,37,-4
2016,21.4,14.1,39,-9
2017,20.3,12.6,37,-4
2018,20.7,12.9,37,-8
2019,21.0,12.6,38,-4
2020,20.5,12.9,36,-7
2021,21.3,13.4,36,-7
2022,21.1,12.5,39,-3
