年份,平均高温,平均低温,极端高温,极端低温
2011,21.4,14.5,38,-2
2012,20.4,14.4,37,-2
2013,22.7,15.4,40,-3
2014,21.7,14.6,38,-3
2015,21.2,14.9,37,-1
2016,22.6,16.2,39,-5
2017,21.6,14.9,39,-1
2018,22.5,15.5,38,-4
2019,22.1,14.6,38,-2
2020,21.5,14.6,37,-4
2021,22.7,14.8,38,-4
2022,21.3,13.8,38,-1
