年份,平均高温,平均低温,极端高温,极端低温
2011,25.3,20.4,34,7
2012,25.5,21.0,34,7
2013,25.6,20.8,35,8
2014,25.5,21.2,34,7
2015,25.9,21.8,35,11
2016,26.0,21.6,34,4
2017,26.0,21.5,36,10
2018,26.1,21.2,35,0
2019,26.7,21.8,35,11
2020,26.2,21.4,34,5
2021,26.0,20.9,34,6
2022,24.8,20.1,36,8
