年份,平均高温,平均低温,极端高温,极端低温
2011,17.9,8.2,36,-11
2012,17.2,7.7,38,-15
2013,17.6,7.9,37,-14
2014,18.8,8.8,38,-11
2015,18.3,8.5,39,-9
2016,19.9,9.7,36,-17
2017,18.7,8.6,37,-10
2018,18.3,8.1,38,-12
2019,19.0,8.2,38,-12
2020,18.6,8.3,38,-13
2021,18.2,8.4,36,-17
2022,19.0,8.3,39,-9
