年份,平均高温,平均低温,极端高温,极端低温
2011,20.9,12.3,37,-5
2012,20.7,12.3,36,-6
2013,22.3,12.9,38,-5
2014,21.4,12.6,38,-6
2015,21.2,12.6,36,-4
2016,22.4,14.3,38,-8
2017,21.5,12.9,37,-4
2018,21.9,12.8,38,-7
2019,21.7,12.6,38,-5
2020,20.9,12.7,37,-6
2021,21.9,13.0,37,-7
2022,21.1,13.0,37,-2
