年份,平均高温,平均低温,极端高温,极端低温
2011,13.4,2.3,34,-20
2012,12.5,1.7,33,-26
2013,13.6,2.3,32,-24
2014,13.3,2.6,34,-20
2015,13.4,2.4,32,-17
2016,14.8,3.1,32,-27
2017,13.9,2.1,34,-22
2018,13.6,1.7,33,-25
2019,13.8,1.6,33,-23
2020,13.4,1.4,34,-25
2021,14.6,2.4,36,-28
2022,16.3,2.3,37,-19
