年份,平均高温,平均低温,极端高温,极端低温
2011,20.4,12.8,35,-2
2012,19.8,12.8,35,-2
2013,22.0,13.3,36,-2
2014,20.6,12.9,35,-2
2015,21.7,13.5,36,0
2016,22.8,14.2,37,-2
2017,21.0,13.3,36,-5
2018,21.0,13.5,35,-2
2019,20.3,13.2,35,1
2020,20.2,13.4,35,0
2021,20.4,13.8,36,-1
2022,21.7,13.5,39,2
