年份,平均高温,平均低温,极端高温,极端低温
2011,26.3,20.3,35,7
2012,27.9,21.6,36,9
2013,27.6,21.3,36,10
2014,28.1,21.5,37,9
2015,29.0,22.2,39,10
2016,28.7,22.2,37,5
2017,27.9,21.8,37,10
2018,27.7,21.5,37,8
2019,29.2,22.4,38,11
2020,28.4,22.0,38,10
2021,28.0,21.4,38,5
2022,27.4,20.8,36,8
