年份,平均高温,平均低温,极端高温,极端低温
2011,16.3,5.3,36,-15
2012,16.4,5.1,35,-15
2013,18.1,5.0,35,-17
2014,17.4,5.1,36,-15
2015,17.7,5.3,36,-14
2016,17.6,5.5,34,-21
2017,17.8,5.1,37,-15
2018,17.4,4.6,36,-17
2019,17.8,4.8,35,-16
2020,17.1,4.8,36,-21
2021,17.5,4.7,35,-21
2022,19.6,6.4,37,-16
