年份,平均高温,平均低温,极端高温,极端低温
2012,12.7,1.9,32,-26
2013,13.4,2.3,32,-24
2014,13.6,2.6,33,-20
2015,13.4,2.2,32,-18
2016,13.2,1.9,32,-26
2017,13.9,1.9,35,-22
2018,13.3,1.5,34,-24
2019,13.5,2.0,33,-23
2020,12.8,1.4,34,-24
2021,14.0,2.7,34,-28
2022,17.9,5.1,37,-18
