年份,平均高温,平均低温,极端高温,极端低温
2011,14.1,-0.6,33,-20
2012,13.1,-0.8,29,-22
2013,14.9,-0.4,31,-19
2014,14.0,-0.7,31,-19
2015,14.4,-0.5,32,-18
2016,14.8,-0.1,32,-22
2017,13.2,-0.9,33,-22
2018,11.5,-2.7,30,-273
2019,11.1,-3.3,29,-25
2020,11.5,-1.4,27,-22
2021,14.9,2.5,34,-18
2022,14.6,1.8,35,-24
