年份,平均高温,平均低温,极端高温,极端低温
2012,18.7,9.3,38,-10
2013,18.7,9.4,38,-11
2014,19.4,10.2,40,-8
2015,19.0,10.0,40,-7
2016,19.2,10.0,37,-13
2017,19.5,10.1,40,-10
2018,19.2,9.7,41,-11
2019,19.6,10.1,39,-9
2020,18.9,9.8,38,-11
2021,19.3,10.0,38,-20
2022,20.9,10.5,41,-7
