年份,平均高温,平均低温,极端高温,极端低温
2012,19.8,12.9,35,-1
2013,21.9,13.3,36,-2
2014,20.2,13.3,34,-2
2015,21.8,13.5,35,0
2016,21.0,13.0,36,-3
2017,20.8,13.0,36,0
2018,21.2,12.9,36,-3
2019,20.4,13.5,34,0
2020,20.9,13.5,36,0
2021,21.1,13.6,40,-2
2022,23.3,14.9,38,2
