年份,平均高温,平均低温,极端高温,极端低温
2011,25.0,17.0,36,1
2012,25.1,18.4,36,4
2013,25.6,18.3,36,3
2014,25.6,18.8,36,4
2015,26.4,19.0,37,5
2016,26.6,19.0,38,2
2017,26.2,18.5,38,0
2018,25.5,18.7,36,4
2019,26.2,18.8,36,5
2020,26.1,18.9,37,5
2021,26.4,19.0,37,4
2022,25.4,18.2,37,4
