年份,平均高温,平均低温,极端高温,极端低温
2012,17.8,9.4,37,-11
2013,18.1,9.8,37,-11
2014,19.0,10.7,37,-7
2015,18.7,10.3,37,-8
2016,18.7,10.4,37,-14
2017,19.2,10.6,39,-9
2018,18.5,9.8,40,-15
2019,19.2,10.4,38,-9
2020,18.6,10.1,37,-12
2021,18.1,9.2,38,-17
2022,20.1,10.7,40,-13
