年份,平均高温,平均低温,极端高温,极端低温
2012,16.4,5.6,34,-16
2013,18.2,6.0,35,-13
2014,17.5,5.6,36,-12
2015,18.1,6.1,38,-10
2016,18.0,6.1,36,-17
2017,17.2,5.6,38,-10
2018,16.8,5.7,36,-15
2019,17.1,6.0,36,-10
2020,16.1,5.4,35,-14
2021,15.6,5.0,38,-16
2022,19.9,7.0,39,-17
