年份,平均高温,平均低温,极端高温,极端低温
2012,18.8,10.1,37,-11
2013,19.3,10.6,37,-13
2014,19.9,11.1,39,-10
2015,19.6,10.8,38,-8
2016,19.7,11.1,36,-16
2017,20.0,11.1,38,-8
2018,19.6,11.0,37,-10
2019,19.9,11.1,38,-8
2020,19.2,10.3,38,-15
2021,18.9,10.7,36,-19
2022,21.0,12.5,38,-7
