年份,平均高温,平均低温,极端高温,极端低温
2012,10.0,-0.0,34,-32
2013,9.2,-0.3,33,-33
2014,10.7,0.0,37,-33
2015,10.9,0.5,34,-29
2016,10.1,0.3,35,-33
2017,10.5,0.1,35,-28
2018,10.3,-0.6,38,-34
2019,11.1,0.6,33,-28
2020,10.0,0.3,33,-29
2021,10.1,0.6,33,-31
2022,12.3,2.2,34,-27
