年份,平均高温,平均低温,极端高温,极端低温
2012,27.9,21.7,36,10
2013,27.5,21.3,36,10
2014,28.0,21.6,36,9
2015,28.9,22.1,39,10
2016,28.0,21.7,37,6
2017,27.6,21.6,37,0
2018,27.8,21.5,37,8
2019,29.3,22.7,38,11
2020,28.3,22.2,38,11
2021,28.0,21.7,38,5
2022,27.7,21.4,36,9
