年份,平均高温,平均低温,极端高温,极端低温
2012,20.4,12.5,36,-6
2013,22.2,12.8,38,-5
2014,21.2,12.3,37,-6
2015,20.9,12.4,36,-4
2016,21.1,13.0,38,-8
2017,21.2,12.6,40,-5
2018,21.6,12.4,38,-7
2019,21.9,13.0,38,-3
2020,20.8,12.9,37,-6
2021,21.7,13.3,38,-7
2022,23.3,15.0,40,-3
