年份,平均高温,平均低温,极端高温,极端低温
2012,17.5,7.7,38,-15
2013,17.8,7.7,37,-14
2014,18.9,8.8,38,-11
2015,18.2,8.2,39,-9
2016,18.2,8.7,36,-16
2017,18.9,8.7,38,-19
2018,19.4,9.7,38,-18
2019,18.7,8.6,37,-12
2020,18.5,8.4,38,-12
2021,17.7,8.5,36,-20
2022,19.3,8.9,40,-13
