年份,平均高温,平均低温,极端高温,极端低温
2011,20.7,10.8,29,2
2012,21.7,11.2,28,-1
2013,21.4,10.8,30,-3
2014,21.3,11.6,31,-1
2015,21.3,10.9,31,0
2016,21.1,11.0,30,-2
2017,20.4,10.8,29,0
2018,20.1,10.1,29,-5
2019,21.9,11.2,31,-1
2020,21.2,11.3,30,0
2021,21.3,11.8,36,-1
2022,21.2,11.3,38,-1
