年份,平均高温,平均低温,极端高温,极端低温
2012,20.4,14.4,37,-3
2013,22.9,15.5,40,-3
2014,21.8,14.9,38,-3
2015,21.3,15.0,37,-1
2016,21.7,15.2,39,-5
2017,22.0,15.1,40,-1
2018,22.0,14.9,38,-6
2019,21.8,14.5,38,-6
2020,21.5,14.4,37,-4
2021,22.2,14.5,40,-4
2022,22.8,15.1,40,-1
